city,country,region,accom_shared_hostel_dorm,accom_hostel_private_room,accom_1_star,accom_2_star,accom_3_star,accom_4_star,food_street_food,food_budget,food_mid_range,food_high_end,drink_coffee,drinks_none,drinks_light,drinks_moderate,drinks_heavy,activities_free,activities_budget,activities_mid_range,activities_high_end
Ho Chi Minh City,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,13.72,25.74,65.78,165.86,2.67,5.34,8.64,25.2,41.76,0,20.02,54.34,151.56
Hanoi,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,13.72,25.74,65.78,165.86,2.66,5.31,8.63,24.41,40.37,0,8.58,22.88,80.08
Can Tho,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,16.77,31.46,80.08,191.6,1.74,3.48,6.78,18.72,30.66,0,20.02,45.76,82.94
Mui Ne,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,12.2,22.88,51.48,97.24,2.66,5.31,8.63,24.41,40.37,0,20.02,48.62,94.38
Cat Ba,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,9.15,17.16,42.9,80.08,2.66,5.31,8.63,24.41,40.37,0,8.58,22.88,42.9
Ninh Binh,Vietnam,SEA,18.98,19.01,21.4,24.09,32.12,42.95,13.72,25.74,65.77,165.87,2.66,5.31,8.63,24.41,40.37,0,17.16,37.18,80.07
Pu Luong,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,13.72,25.74,65.77,165.87,2.66,5.31,8.63,24.41,40.37,0,17.16,37.18,80.07
Da Nang,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,16.77,31.46,77.22,183.02,2.4,4.8,8.64,24.4,40.16,0,17.16,37.18,65.78
Hoi An,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,10.67,20.02,45.76,105.82,2.4,4.8,8.1,23.32,38.54,0,14.3,34.32,82.94
Da Lat,Vietnam,SEA,16.61,16.64,18.73,21.08,28.11,37.59,9.15,17.16,37.18,77.22,2.31,4.62,7.22,21.3,35.38,0,8.58,22.88,68.64
Nha Trang,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,13.72,25.74,65.77,165.87,2.47,4.94,6.7,20.72,34.74,0,17.16,37.18,80.07
Phu Quoc,Vietnam,SEA,26.9,26.94,30.32,34.13,45.51,60.86,10.67,20.02,42.9,82.94,2.66,5.31,8.63,24.41,40.37,0,8.58,20.02,40.04
Sa Pa,Vietnam,SEA,20.57,20.6,23.19,26.1,34.8,46.53,16.77,31.46,77.22,194.46,2.66,5.31,8.63,24.41,40.37,0,5.72,17.16,40.04
Singapore,Singapore,SEA,26.9,26.94,30.32,34.13,45.51,60.86,28.97,54.34,134.4,340.3,7.04,14.08,36.22,93.34,150.46,0,37.18,97.24,251.66
Seoul,South Korea,East Asia,66.45,66.55,74.91,84.32,112.43,150.34,27.45,51.48,134.4,354.6,5.25,10.5,20.16,55.9,91.64,0,25.74,68.64,205.9
Tokyo,Japan,East Asia,79.9,80.02,90.08,101.39,135.19,180.78,35.07,65.78,174.44,489.02,4.73,9.46,19.98,54,88.02,0,62.92,185.88,614.84
Taipei,Taiwan,East Asia,66.45,66.55,74.91,84.32,112.43,150.34,16.77,31.46,80.08,214.48,4.99,9.98,17.94,50.68,83.42,0,20.02,51.48,137.26
Delhi,India,South Asia,38.22,38.28,43.09,48.5,64.67,86.48,10.67,20.02,51.48,131.54,3.44,6.88,14.28,38.76,63.24,0,17.16,48.62,171.58
Mumbai,India,South Asia,38.22,38.28,43.09,48.5,64.67,86.48,19.82,37.18,111.54,388.92,3.82,7.64,15.04,41.42,67.8,0,2.86,5.72,17.16
Colombo,Sri Lanka,South Asia,34.8,34.86,39.24,44.17,58.89,78.75,18.3,34.32,108.67,386.07,3.44,6.89,14.29,38.79,63.3,0,2.86,5.72,17.16
Istanbul,Turkey,Middle East,62.49,62.59,70.45,79.3,105.74,141.4,36.59,68.64,168.72,380.34,5.72,11.44,23.56,64.1,104.64,0,42.9,111.54,271.68
Dubai,UAE,Middle East,37.97,38.03,42.81,48.19,64.25,85.92,59.47,111.54,274.54,672.04,8.7,17.4,56.26,138.34,220.42,0,17.16,54.34,220.2
Cape Town,South Africa,Africa,72.78,72.89,82.05,92.36,123.14,164.66,96.05,180.16,234.5,331.74,3.51,7.02,15.7,41.82,67.94,0,25.74,74.36,225.92
Cairo,Egypt,Africa,56.16,56.25,63.32,71.27,95.03,127.07,10.67,20.02,48.62,94.38,3.51,7.02,15.71,41.82,67.94,0,11.44,25.74,48.62
Prague,Czech Republic,Europe,112.73,112.9,127.09,143.06,190.74,255.06,32.02,60.06,142.98,317.44,5.49,10.98,19.76,55.82,91.88,0,20.02,51.48,128.68
Lisbon,Portugal,Europe,123.41,123.59,139.13,156.61,208.81,279.22,47.26,88.65,215.91,507.61,4.21,8.42,18.2,48.9,79.6,0,37.18,94.37,234.5
Mexico City,Mexico,Latin America,63.28,63.38,71.35,80.31,107.08,143.19,25.92,48.62,131.54,386.06,5.54,11.08,20.76,57.96,95.16,0,17.16,42.9,97.24
Lima,Peru,Latin America,51.42,51.5,57.97,65.25,87,116.34,19.82,37.18,94.38,245.94,4.49,8.98,17.38,48.08,78.78,0,8.58,25.74,82.94
San Francisco,United States,North America,58.54,58.63,66,74.29,99.05,132.45,48.79,91.52,225.92,546.22,8.49,16.98,39.86,104.92,169.98,0,37.18,88.66,223.06
Melbourne,Australia,Oceania,58.54,58.63,66,74.29,99.05,132.45,35.07,65.78,160.14,360.32,5.64,11.28,37.58,91.9,146.22,0,34.32,82.94,197.32
